"min_temp_bin","winter_season","mean_unplaced","n"
-21,"2021-22",4,1
-21,"2022-23",34,1
-19,"2021-22",32.25,4
-19,"2022-23",30,1
-19,"2025-26",2.8,5
-17,"2021-22",27,3
-17,"2024-25",42,1
-17,"2025-26",0.5,2
-15,"2021-22",23,3
-15,"2023-24",117,2
-15,"2024-25",62.75,4
-15,"2025-26",10.75,4
-13,"2020-21",13.6666666666667,3
-13,"2021-22",21.6666666666667,9
-13,"2022-23",59,2
-13,"2023-24",123.666666666667,3
-13,"2024-25",71.25,4
-13,"2025-26",20.8571428571429,7
-11,"2020-21",16.7272727272727,11
-11,"2021-22",34,8
-11,"2022-23",47,3
-11,"2023-24",149,3
-11,"2024-25",95.6666666666667,9
-11,"2025-26",16.5833333333333,12
-9,"2020-21",23.5,10
-9,"2021-22",38.0769230769231,13
-9,"2022-23",50.2,5
-9,"2023-24",169,2
-9,"2024-25",86,7
-9,"2025-26",34.5,18
-7,"2020-21",30.0625,16
-7,"2021-22",40.875,8
-7,"2022-23",80.5555555555556,9
-7,"2023-24",122.833333333333,6
-7,"2024-25",98.2857142857143,21
-7,"2025-26",34.125,8
-5,"2020-21",34.3571428571429,14
-5,"2021-22",36.8333333333333,12
-5,"2022-23",124.066666666667,15
-5,"2023-24",148.727272727273,11
-5,"2024-25",92,17
-5,"2025-26",51.1428571428571,14
-3,"2020-21",45.2777777777778,18
-3,"2021-22",39,12
-3,"2022-23",108.35,20
-3,"2023-24",184,16
-3,"2024-25",118.8125,16
-3,"2025-26",31.25,16
-1,"2020-21",43.7368421052632,19
-1,"2021-22",51.3181818181818,22
-1,"2022-23",117.333333333333,36
-1,"2023-24",168.45,20
-1,"2024-25",135,21
-1,"2025-26",42.8235294117647,17
1,"2020-21",47.0833333333333,24
1,"2021-22",48.6538461538462,26
1,"2022-23",120.461538461538,26
1,"2023-24",176.7,40
1,"2024-25",146.47619047619,21
1,"2025-26",82.4615384615385,26
3,"2020-21",46.8666666666667,15
3,"2021-22",51.4,20
3,"2022-23",131.45,20
3,"2023-24",185.6,20
3,"2024-25",142.764705882353,17
3,"2025-26",84.4615384615385,13
5,"2020-21",65.8571428571429,7
5,"2021-22",52.8333333333333,6
5,"2022-23",126.714285714286,7
5,"2023-24",195.733333333333,15
5,"2024-25",157.125,8
5,"2025-26",78,4
7,"2020-21",75.5714285714286,7
7,"2021-22",72.5,4
7,"2022-23",107,1
7,"2023-24",182.5,12
7,"2024-25",189.6,5
7,"2025-26",91.4,5
9,"2020-21",72.8,5
9,"2021-22",57,1
9,"2022-23",120,2
9,"2023-24",219,2
9,"2024-25",140,1
9,"2025-26",110,1
11,"2020-21",80.5,2
11,"2023-24",199,1
13,"2020-21",94,1
13,"2022-23",108,1
15,"2022-23",137.666666666667,3
